0	0	-29.4528	-nan	-44.0186	-nan	inf	22.2927
1.4	0.447099	-29.4528	-44.0144	-44.0145	0	7.73571e-05	21.8143
1.41	0.448657	-29.4528	-44.0144	-44.0144	0	7.79632e-05	21.8075
1.42	0.450185	-29.4528	-44.0143	-44.0144	0	7.8578e-05	21.8005
1.43	0.45168	-29.4528	-44.0142	-44.0143	0	7.92016e-05	21.7936
1.44	0.453144	-29.4528	-44.0141	-44.0142	0	7.9834e-05	21.7866
1.45	0.454576	-29.4528	-44.0141	-44.0141	0	8.04753e-05	21.7795
1.46	0.455977	-29.4528	-44.014	-44.0141	0	8.11257e-05	21.7724
1.47	0.457345	-29.4528	-44.0139	-44.014	0	8.17852e-05	21.7653
1.48	0.458681	-29.4528	-44.0138	-44.0139	0	8.24538e-05	21.7581
1.49	0.459985	-29.4528	-44.0138	-44.0138	0	8.31317e-05	21.7508
1.5	0.461257	-29.4528	-44.0137	-44.0138	0	8.38189e-05	21.7435
1.51	0.462496	-29.4528	-44.0136	-44.0137	0	8.45155e-05	21.7362
1.52	0.463703	-29.4528	-44.0135	-44.0136	0	8.52217e-05	21.7288
1.53	0.464878	-29.4528	-44.0134	-44.0135	0	8.59375e-05	21.7213
1.54	0.466019	-29.4528	-44.0133	-44.0134	0	8.6663e-05	21.7138
1.55	0.467128	-29.4528	-44.0132	-44.0133	0	8.73983e-05	21.7063
1.56	0.468205	-29.4528	-44.0132	-44.0132	0	8.81435e-05	21.6987
1.57	0.469248	-29.4528	-44.0131	-44.0132	0	8.88987e-05	21.6911
1.58	0.470259	-29.4528	-44.013	-44.0131	0	8.96641e-05	21.6834
1.59	0.471236	-29.4528	-44.0129	-44.013	0	9.04396e-05	21.6756
1.6	0.47218	-29.4528	-44.0128	-44.0129	0	9.12254e-05	21.6679
1.61	0.473092	-29.4528	-44.0127	-44.0128	0	9.20217e-05	21.66
1.62	0.47397	-29.4528	-44.0126	-44.0127	0	9.28284e-05	21.6521
1.63	0.474815	-29.4528	-44.0125	-44.0126	0	9.36458e-05	21.6442
1.64	0.475626	-29.4528	-44.0124	-44.0125	0	9.4474e-05	21.6362
1.65	0.476404	-29.4528	-44.0123	-44.0124	0	9.5313e-05	21.6282
1.66	0.477149	-29.4528	-44.0122	-44.0123	0	9.6163e-05	21.6201
1.67	0.47786	-29.4528	-44.0121	-44.0122	0	9.70241e-05	21.612
1.68	0.478538	-29.4528	-44.012	-44.0121	0	9.78964e-05	21.6038
1.69	0.479182	-29.4528	-44.0119	-44.012	0	9.878e-05	21.5956
1.7	0.479793	-29.4528	-44.0118	-44.0119	0	9.96751e-05	21.5873
1.71	0.48037	-29.4528	-44.0116	-44.0117	0	0.000100582	21.579
1.72	0.480913	-29.4528	-44.0115	-44.0116	0	0.0001015	21.5706
1.73	0.481422	-29.4528	-44.0114	-44.0115	0	0.00010243	21.5622
1.74	0.481898	-29.4528	-44.0113	-44.0114	0	0.000103373	21.5537
1.75	0.48234	-29.4528	-44.0112	-44.0113	0	0.000104327	21.5452
1.76	0.482747	-29.4528	-44.0111	-44.0112	0	0.000105293	21.5366
1.77	0.483122	-29.4528	-44.0109	-44.011	0	0.000106272	21.528
1.78	0.483462	-29.4528	-44.0108	-44.0109	0	0.000107264	21.5193
1.79	0.483768	-29.4528	-44.0107	-44.0108	0	0.000108268	21.5106
1.8	0.48404	-29.4528	-44.0106	-44.0107	0	0.000109285	21.5019
1.81	0.484279	-29.4528	-44.0104	-44.0105	0	0.000110315	21.4931
1.82	0.484483	-29.4528	-44.0103	-44.0104	0	0.000111358	21.4842
1.83	0.484654	-29.4528	-44.0102	-44.0103	0	0.000112414	21.4753
1.84	0.48479	-29.4528	-44.01	-44.0101	0	0.000113483	21.4663
1.85	0.484893	-29.4528	-44.0099	-44.01	0	0.000114566	21.4573
1.86	0.484961	-29.4528	-44.0097	-44.0099	0	0.000115663	21.4483
1.87	0.484995	-29.4528	-44.0096	-44.0097	0	0.000116774	21.4392
1.88	0.484996	-29.4528	-44.0095	-44.0096	0	0.000117899	21.43
1.89	0.484962	-29.4528	-44.0093	-44.0094	0	0.000119038	21.4208
1.9	0.484894	-29.4528	-44.0092	-44.0093	0	0.000120191	21.4116
1.91	0.484793	-29.4528	-44.009	-44.0091	0	0.000121359	21.4023
1.92	0.484657	-29.4528	-44.0089	-44.009	0	0.000122541	21.3929
1.93	0.484487	-29.4528	-44.0087	-44.0088	0	0.000123739	21.3835
1.94	0.484283	-29.4528	-44.0085	-44.0087	0	0.000124951	21.3741
1.95	0.484046	-29.4528	-44.0084	-44.0085	0	0.000126179	21.3646
1.96	0.483774	-29.4528	-44.0082	-44.0084	0	0.000127422	21.355
1.97	0.483469	-29.4528	-44.0081	-44.0082	0	0.00012868	21.3454
1.98	0.483129	-29.4528	-44.0079	-44.008	0	0.000129954	21.3358
1.99	0.482756	-29.4528	-44.0077	-44.0079	0	0.000131245	21.3261
2	0.482348	-29.4528	-44.0076	-44.0077	0	0.000132551	21.3164
2.01	0.481907	-29.4528	-44.0074	-44.0075	0	0.000133874	21.3066
2.02	0.481433	-29.4528	-44.0072	-44.0073	0	0.000135213	21.2967
2.03	0.480924	-29.4528	-44.007	-44.0072	0	0.000136569	21.2868
2.04	0.480382	-29.4528	-44.0068	-44.007	0	0.000137942	21.2769
2.05	0.479806	-29.4528	-44.0067	-44.0068	0	0.000139332	21.2669
2.06	0.479196	-29.4528	-44.0065	-44.0066	0	0.00014074	21.2569
2.07	0.478552	-29.4528	-44.0063	-44.0064	0	0.000142165	21.2468
2.08	0.477876	-29.4528	-44.0061	-44.0062	0	0.000143608	21.2367
2.09	0.477165	-29.4528	-44.0059	-44.006	0	0.000145068	21.2265
2.1	0.476421	-29.4528	-44.0057	-44.0058	0	0.000146547	21.2163
2.11	0.475644	-29.4528	-44.0055	-44.0056	0	0.000148045	21.206
2.12	0.474833	-29.4528	-44.0053	-44.0054	0	0.000149561	21.1957
2.13	0.473989	-29.4528	-44.0051	-44.0052	0	0.000151095	21.1853
2.14	0.473112	-29.4528	-44.0049	-44.005	0	0.000152649	21.1749
2.15	0.472202	-29.4528	-44.0046	-44.0048	0	0.000154223	21.1644
2.16	0.471258	-29.4528	-44.0044	-44.0046	0	0.000155815	21.1539
2.17	0.470282	-29.4528	-44.0042	-44.0044	0	0.000157428	21.1433
2.18	0.469272	-29.4528	-44.004	-44.0041	0	0.000159061	21.1327
2.19	0.46823	-29.4528	-44.0037	-44.0039	0	0.000160714	21.122
2.2	0.467155	-29.4528	-44.0035	-44.0037	0	0.000162387	21.1113
2.21	0.466047	-29.4528	-44.0033	-44.0034	0	0.000164082	21.1006
2.22	0.464906	-29.4528	-44.003	-44.0032	0	0.000165797	21.0897
2.23	0.463733	-29.4528	-44.0028	-44.003	0	0.000167533	21.0789
2.24	0.462527	-29.4528	-44.0025	-44.0027	0	0.000169292	21.068
2.25	0.461289	-29.4528	-44.0023	-44.0025	0	0.000171072	21.057
2.26	0.460018	-29.4528	-44.002	-44.0022	0	0.000172874	21.046
2.27	0.458715	-29.4528	-44.0018	-44.002	0	0.000174698	21.0349
2.28	0.45738	-29.4528	-44.0015	-44.0017	0	0.000176546	21.0238
2.29	0.456013	-29.4528	-44.0013	-44.0014	0	0.000178416	21.0127
2.3	0.454614	-29.4528	-44.001	-44.0012	0	0.000180309	21.0015
2.31	0.453183	-29.4528	-44.0007	-44.0009	0	0.000182226	20.9902
2.32	0.451721	-29.4528	-44.0004	-44.0006	0	0.000184166	20.9789
2.33	0.450226	-29.4528	-44.0002	-44.0003	0	0.000186131	20.9676
2.34	0.4487	-29.4528	-43.9999	-44.0001	0	0.00018812	20.9562
2.35	0.447143	-29.4528	-43.9996	-43.9998	0	0.000190134	20.9447
2.36	0.445554	-29.4528	-43.9993	-43.9995	0	0.000192173	20.9332
2.37	0.443934	-29.4528	-43.999	-43.9992	0	0.000194237	20.9217
2.38	0.442283	-29.4528	-43.9987	-43.9989	0	0.000196327	20.9101
2.39	0.440601	-29.4528	-43.9984	-43.9986	0	0.000198442	20.8984
2.4	0.438888	-29.4528	-43.9981	-43.9983	0	0.000200584	20.8868
2.41	0.437145	-29.4528	-43.9977	-43.9979	0	0.000202753	20.875
2.42	0.43537	-29.4528	-43.9974	-43.9976	0	0.000204948	20.8632
2.43	0.433565	-29.4528	-43.9971	-43.9973	0	0.000207171	20.8514
2.44	0.43173	-29.4528	-43.9968	-43.997	0	0.000209421	20.8395
2.45	0.429864	-29.4528	-43.9964	-43.9966	0	0.000211699	20.8276
2.46	0.427969	-29.4528	-43.9961	-43.9963	0	0.000214006	20.8156
2.47	0.426043	-29.4528	-43.9957	-43.996	0	0.000216341	20.8035
2.48	0.424088	-29.4528	-43.9954	-43.9956	0	0.000218706	20.7915
2.49	0.422102	-29.4528	-43.995	-43.9952	0	0.000221099	20.7793
2.5	0.420088	-29.4528	-43.9947	-43.9949	0	0.000223523	20.7671
2.51	0.418043	-29.4528	-43.9943	-43.9945	0	0.000225976	20.7549
2.52	0.41597	-29.4528	-43.9939	-43.9942	0	0.00022846	20.7426
2.53	0.413867	-29.4528	-43.9935	-43.9938	0	0.000230975	20.7303
2.54	0.411735	-29.4528	-43.9932	-43.9934	0	0.000233521	20.7179
