0	-nan	-nan	-nan
2.43	0.120038	0.0301695	0.0898684
2.44	0.120268	0.0303026	0.089965
2.45	0.120493	0.0304348	0.0900584
2.46	0.120715	0.0305661	0.0901488
2.47	0.120933	0.0306964	0.0902361
2.48	0.121146	0.0308258	0.0903204
2.49	0.121356	0.0309542	0.0904019
2.5	0.121562	0.0310816	0.0904804
2.51	0.121764	0.031208	0.0905562
2.52	0.121963	0.0313335	0.0906292
2.53	0.122157	0.0314579	0.0906995
2.54	0.122349	0.0315814	0.0907671
2.55	0.122536	0.0317039	0.0908322
2.56	0.12272	0.0318254	0.0908947
2.57	0.122901	0.0319459	0.0909547
2.58	0.123078	0.0320653	0.0910123
2.59	0.123251	0.0321838	0.0910676
2.6	0.123422	0.0323012	0.0911205
2.61	0.123589	0.0324177	0.0911711
2.62	0.123753	0.0325331	0.0912196
2.63	0.123913	0.0326475	0.0912659
2.64	0.124071	0.0327609	0.0913101
2.65	0.124226	0.0328732	0.0913523
2.66	0.124377	0.0329846	0.0913925
2.67	0.124526	0.0330949	0.0914307
2.68	0.124671	0.0332042	0.0914671
2.69	0.124814	0.0333124	0.0915016
2.7	0.124954	0.0334197	0.0915344
2.71	0.125091	0.0335259	0.0915655
2.72	0.125226	0.0336311	0.0915949
2.73	0.125358	0.0337352	0.0916227
2.74	0.125487	0.0338383	0.091649
2.75	0.125614	0.0339405	0.0916738
2.76	0.125739	0.0340415	0.0916971
2.77	0.125861	0.0341416	0.091719
2.78	0.12598	0.0342407	0.0917395
2.79	0.126098	0.0343387	0.0917588
2.8	0.126213	0.0344357	0.0917768
2.81	0.126325	0.0345317	0.0917937
2.82	0.126436	0.0346267	0.0918094
2.83	0.126545	0.0347207	0.0918239
2.84	0.126651	0.0348137	0.0918375
2.85	0.126756	0.0349057	0.09185
2.86	0.126858	0.0349967	0.0918616
2.87	0.126959	0.0350867	0.0918723
2.88	0.127058	0.0351758	0.0918822
2.89	0.127155	0.0352638	0.0918912
2.9	0.12725	0.0353509	0.0918995
2.91	0.127344	0.035437	0.091907
2.92	0.127436	0.0355222	0.0919139
2.93	0.127527	0.0356064	0.0919201
2.94	0.127615	0.0356896	0.0919258
2.95	0.127703	0.0357719	0.0919309
2.96	0.127789	0.0358533	0.0919355
2.97	0.127873	0.0359337	0.0919396
2.98	0.127956	0.0360132	0.0919433
2.99	0.128038	0.0360918	0.0919466
3	0.128119	0.0361695	0.0919496
3.01	0.128198	0.0362463	0.0919522
3.02	0.128277	0.0363222	0.0919546
3.03	0.128354	0.0363972	0.0919568
3.04	0.12843	0.0364713	0.0919587
3.05	0.128505	0.0365446	0.0919605
